BFE,SI,FRI,SE,CBD,AE,AR,NAS,CPS,PD,9COH,9UYS,9MPS,9FF,9AIF,6COH,6UYS,6MPS,6FF,6AIF,WFA,Class
0.010273412,0.066332638,-0.151735362,-0.255533075,-0.249066727,-0.267383026,0.033597962,0.448937902,-0.344483557,-0.327464662,-0.058043734,-0.016708621,0.421196568,-0.220854916,0.610209203,-0.59029294,-0.473899619,-0.054113718,-0.156671311,0.32655736,-0.327988767,1
-0.011587984,-0.624690258,-0.100898803,-0.180202375,-0.373757166,-0.259020492,0.001062578,0.655566276,-0.314015538,-0.222824269,-0.541413843,-0.513018613,-0.019769955,-0.162231317,0.366621127,-0.32543793,-0.302354661,0.069410369,-0.302133801,0.178594885,-0.327988767,1
0.012599092,-0.823477667,-0.100898803,-0.232791732,-0.249066727,-0.264045598,0.034261949,0.592839806,-0.431317411,-0.315049701,-0.73940615,-0.694477061,0.10622048,0.134032845,0.70260468,-0.664559716,-0.519016448,0.125557681,0.002471913,0.573161485,-0.69290108,1
0.005156915,-0.470866668,-0.166260093,-0.355026452,-0.29546317,-0.269649064,0.156435637,0.644496899,-0.494919401,-0.333967738,-0.71618483,-0.678350901,-0.082765173,0.026014408,0.366621127,-0.734710503,-0.577264295,-0.095288414,0.407309937,0.153934473,-0.632640331,1
0.345870142,0.055145119,-0.411776681,-0.728903525,0.212086209,-0.198063583,3.59236854,0.34935256,-0.7204155,-0.346108151,-0.865549834,-0.850371688,-0.646794178,0.250384337,-0.265212929,-0.762424085,-0.612705561,-0.460981065,0.471278735,0.036833185,-0.688570266,1
0.418849933,0.231957586,-0.436819851,-0.421758192,0.193753894,-0.208302548,3.66220318,0.34935256,-0.644900493,-0.344341343,-0.677654051,-0.684445621,-0.588866315,0.146233119,-0.265212929,-0.807164054,-0.644343739,-0.500779811,0.520059299,0.017935917,-0.548662537,1
0.352285948,0.055145119,-0.361690341,-0.700312869,0.182087875,-0.208983692,3.630529546,0.321784562,-0.522544292,-0.338157514,-0.763699784,-0.7564309,-0.646794178,0.16099993,-0.1976286,-0.731054682,-0.593354993,-0.516914437,0.445123366,-0.010409984,-0.254553952,1
0.395057987,0.327164299,-0.274039246,-0.638230302,0.223752228,-0.199207906,3.576531723,0.461745168,-0.649497058,-0.337240133,-0.610924707,-0.591764575,-0.407841743,0.139844214,0.005124387,-0.646717269,-0.517887778,-0.320071992,0.417523836,0.197459962,-0.416725976,1
0.371214347,0.05113747,-0.414236416,-0.727098275,0.208280405,-0.199022554,3.748751355,0.381845228,-0.717529294,-0.342624092,-0.867490205,-0.851989037,-0.64519396,0.257976698,-0.259167501,-0.771144596,-0.618713859,-0.458524719,0.500640691,0.041357393,-0.691020285,1
0.438818095,0.214925078,-0.437434785,-0.442578748,0.191298536,-0.208507267,3.813441638,0.381845228,-0.647577086,-0.340987436,-0.693435732,-0.698285885,-0.591533343,0.161497762,-0.259167501,-0.812588803,-0.648021416,-0.495391697,0.545827844,0.023852189,-0.561418835,1
